"","x"
"1995",57924
"1996",57924
"1997",57924
"1998",57924
"1999",57924
"2000",57924
"2001",57924
"2002",57924
"2003",57924
"2004",57924
"2005",57924
"2006",57924
"2007",57924
"2008",57924
"2009",57924
"2010",57924
"2011",57924
"2012",57924
"2013",57924
"2014",57924
"2015",57924
"2016",57924
"2017",57924
"2018",57924
"2019",57924
"2020",57924
"2021",57924
"2022",57924
"2023",57924
"2024",57924
"2025",57924
"2026",57924
"2027",57924
"2028",57924
"2029",57924
"2030",57924
"2031",57924
"2032",57924
"2033",57924
"2034",57924
"2035",57924
"2036",57924
"2037",57924
"2038",57924
"2039",57924
"2040",57924
"2041",57924
"2042",57924
"2043",57924
"2044",57924
"2045",57924
"2046",57924
"2047",57924
"2048",57924
"2049",57924
"2050",57924
"2051",57924
"2052",57924
"2053",57924
"2054",57924
"2055",57924
"2056",57924
"2057",57924
"2058",57924
"2059",57924
"2060",57924
"2061",57924
"2062",57924
"2063",57924
"2064",57924
"2065",57924
"2066",57924
"2067",57924
"2068",57924
"2069",57924
"2070",57924
"2071",57924
"2072",57924
"2073",57924
"2074",57924
"2075",57924
"2076",57924
"2077",57924
"2078",57924
"2079",57924
"2080",57924
"2081",57924
"2082",57924
"2083",57924
"2084",57924
"2085",57924
"2086",57924
"2087",57924
"2088",57924
"2089",57924
"2090",57924
"2091",57924
"2092",57924
"2093",57924
"2094",57924
"2095",57924
"2096",57924
"2097",57924
"2098",57924
"2099",57924
"2100",57924
"2101",57924
"2102",57924
"2103",57924
"2104",57924
"2105",57924
"2106",57924
"2107",57924
"2108",57924
"2109",57924
"2110",57924
"2111",57924
"2112",57924
"2113",57924
"2114",57924
"2115",57924
"2116",57924
"2117",57924
"2118",57924
"2119",57924
"2120",57924
"2121",57924
"2122",57924
"2123",57924
"2124",57924
"2125",57924
"2126",57924
"2127",57924
"2128",57924
"2129",57924
"2130",57924
"2131",57924
"2132",57924
"2133",57924
"2134",57924
"2135",57924
"2136",57924
"2137",57924
"2138",57924
"2139",57924
